word,count
美股,2
盘前,1
消息,1
一览,1
美国,4
上周,1
首次,1
申领,1
失业,1
救济,1
人数,2
预估,1
前值,1
股指,1
期货,4
涨跌,1
截至,2
标普,1
指数,6
跌道,1
纳斯达克,1
欧股,1
普涨,1
英国,1
富时,2
法国,1
德国,1
意大利,1
国际货币基金组织,1
预计,2
全球,1
经济,1
萧条,1
衰退,1
世界,1
各国,1
规模,1
万亿美元,1
抗疫,1
财政,1
措施,1
增长,1
约翰斯,1
霍普金斯大学,1
统计数据,1
北京,1
时间,1
全境,1
报告,1
名新冠,1
肺炎,1
确诊,1
病例,1
患者,1
死亡,1
油气,1
股盘,3
前造,1
哈利,1
伯顿,1
西方,1
石油,2
涨斯伦贝,1
谢涨,1
埃克森,1
美孚,1
雪佛龙,1
中国,4
联会,1
公布,1
数据,1
月份,1
电动车,1
批发,1
销量,1
为辆,2
特斯拉,1
汽车销量,1
创下,1
月销量,1
航空,1
走高,2
美国航空,2
集团,2
涨超,6
美国联合航空,2
达美航空,2
西南航空,2
华特,1
迪士尼,1
公司,1
周三,1
流媒体,1
服务,1
付费,1
订阅,1
激增,1
超万,1
星巴克,1
第二季度,3
营收,1
新冠,1
疫情,1
减少,1
一半,1
调整,1
每股,1
收益,1
美分,1
第三季度,1
负面影响,2
超过,1
持续,1
第四季度航空,1
